원천도형ID,읍면동코드,읍면동명,데이터기준일자,제공기관코드,제공기관명
506,47130126,동천동,2018-01-11,AAAAAAA,공공데이터활용지원센터
509,47130136,신평동,2018-01-11,AAAAAAA,공공데이터활용지원센터
484,46150131,대대동,2018-01-11,AAAAAAA,공공데이터활용지원센터
499,46230106,중동,2018-01-11,AAAAAAA,공공데이터활용지원센터
92,46230320,옥룡면,2018-01-11,AAAAAAA,공공데이터활용지원센터
95,46230310,봉강면,2018-01-11,AAAAAAA,공공데이터활용지원센터
97,46230250,광양읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
113,46230103,도이동,2018-01-11,AAAAAAA,공공데이터활용지원센터
212,47111114,효자동,2018-01-11,AAAAAAA,공공데이터활용지원센터
213,47111106,일월동,2018-01-11,AAAAAAA,공공데이터활용지원센터
510,47130104,성동동,2018-01-11,AAAAAAA,공공데이터활용지원센터
511,47130133,하동,2018-01-11,AAAAAAA,공공데이터활용지원센터
516,47130106,노동동,2018-01-11,AAAAAAA,공공데이터활용지원센터
517,47130112,인왕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
13858,48125101,가포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
13857,48125134,월영동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2035,41450123,초이동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2049,28260117,대곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2050,28260113,마전동,2018-01-11,AAAAAAA,공공데이터활용지원센터
7825,41220110,지산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2020,11440590,용강동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2019,11440600,대흥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
25,46170128,이창동,2018-01-11,AAAAAAA,공공데이터활용지원센터
29,46170250,남평읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
30,46170310,세지면,2018-01-11,AAAAAAA,공공데이터활용지원센터
32,46170360,다시면,2018-01-11,AAAAAAA,공공데이터활용지원센터
33,46170370,문평면,2018-01-11,AAAAAAA,공공데이터활용지원센터
34,46170420,다도면,2018-01-11,AAAAAAA,공공데이터활용지원센터
35,46170430,봉황면,2018-01-11,AAAAAAA,공공데이터활용지원센터
37,46170380,노안면,2018-01-11,AAAAAAA,공공데이터활용지원센터
39,46170390,금천면,2018-01-11,AAAAAAA,공공데이터활용지원센터
83,46170400,산포면,2018-01-11,AAAAAAA,공공데이터활용지원센터
84,46170134,빛가람동,2018-01-11,AAAAAAA,공공데이터활용지원센터
17345,46910370,하의면,2018-01-11,AAAAAAA,공공데이터활용지원센터
7731,46910420,암태면,2018-01-11,AAAAAAA,공공데이터활용지원센터
355,46910350,도초면,2018-01-11,AAAAAAA,공공데이터활용지원센터
339,46900360,조도면,2018-01-11,AAAAAAA,공공데이터활용지원센터
340,46900310,군내면,2018-01-11,AAAAAAA,공공데이터활용지원센터
341,46900320,고군면,2018-01-11,AAAAAAA,공공데이터활용지원센터
342,46900350,지산면,2018-01-11,AAAAAAA,공공데이터활용지원센터
343,46900330,의신면,2018-01-11,AAAAAAA,공공데이터활용지원센터
18305,46910250,지도읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
17665,46910253,압해읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
358,46910390,장산면,2018-01-11,AAAAAAA,공공데이터활용지원센터
360,46910380,신의면,2018-01-11,AAAAAAA,공공데이터활용지원센터
7409,46910410,팔금면,2018-01-11,AAAAAAA,공공데이터활용지원센터
14465,46910330,자은면,2018-01-11,AAAAAAA,공공데이터활용지원센터
225,47113124,여남동,2018-01-11,AAAAAAA,공공데이터활용지원센터
226,47113123,환호동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2481,47111320,동해면,2018-01-11,AAAAAAA,공공데이터활용지원센터
4724,47113122,양덕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
543,47130134,진현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
541,47130127,평동,2018-01-11,AAAAAAA,공공데이터활용지원센터
550,47130360,현곡면,2018-01-11,AAAAAAA,공공데이터활용지원센터
1521,47130320,양남면,2018-01-11,AAAAAAA,공공데이터활용지원센터
552,47130310,양북면,2018-01-11,AAAAAAA,공공데이터활용지원센터
1847,47130380,천북면,2018-01-11,AAAAAAA,공공데이터활용지원센터
545,47130256,건천읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
156,47150115,지좌동,2018-01-11,AAAAAAA,공공데이터활용지원센터
157,47150102,용두동,2018-01-11,AAAAAAA,공공데이터활용지원센터
27,46170133,진포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
31,46170105,교동,2018-01-11,AAAAAAA,공공데이터활용지원센터
26,46170129,대기동,2018-01-11,AAAAAAA,공공데이터활용지원센터
227,47113118,우현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
228,47113120,두호동,2018-01-11,AAAAAAA,공공데이터활용지원센터
229,47113119,창포동,2018-01-11,AAAAAAA,공공데이터활용지원센터
577,47113111,동빈2가,2018-01-11,AAAAAAA,공공데이터활용지원센터
1844,47130615,용강동,2018-01-11,AAAAAAA,공공데이터활용지원센터
544,47130117,광명동,2018-01-11,AAAAAAA,공공데이터활용지원센터
160,47150390,감천면,2018-01-11,AAAAAAA,공공데이터활용지원센터
166,47150120,율곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
38,46170132,오량동,2018-01-11,AAAAAAA,공공데이터활용지원센터
45,46170124,용산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
231,47113121,장성동,2018-01-11,AAAAAAA,공공데이터활용지원센터
882,47113330,송라면,2018-01-11,AAAAAAA,공공데이터활용지원센터
3762,47113320,청하면,2018-01-11,AAAAAAA,공공데이터활용지원센터
178,47113340,기계면,2018-01-11,AAAAAAA,공공데이터활용지원센터
181,47113310,신광면,2018-01-11,AAAAAAA,공공데이터활용지원센터
182,47113114,득량동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1521,47111330,장기면,2018-01-11,AAAAAAA,공공데이터활용지원센터
187,47111102,대도동,2018-01-11,AAAAAAA,공공데이터활용지원센터
546,47130108,성건동,2018-01-11,AAAAAAA,공공데이터활용지원센터
547,47130107,노서동,2018-01-11,AAAAAAA,공공데이터활용지원센터
549,47130144,석장동,2018-01-11,AAAAAAA,공공데이터활용지원센터
525,47130119,도지동,2018-01-11,AAAAAAA,공공데이터활용지원센터
526,47130330,내남면,2018-01-11,AAAAAAA,공공데이터활용지원센터
530,47130253,안강읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
531,47130259,외동읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
533,47130130,시래동,2018-01-11,AAAAAAA,공공데이터활용지원센터
535,47130102,서부동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4721,47170136,송현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
177,47170129,운안동,2018-01-11,AAAAAAA,공공데이터활용지원센터
179,47170124,목성동,2018-01-11,AAAAAAA,공공데이터활용지원센터
46,46170125,관정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
47,46170126,평산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
372,46170330,반남면,2018-01-11,AAAAAAA,공공데이터활용지원센터
81,46230360,다압면,2018-01-11,AAAAAAA,공공데이터활용지원센터
