산코드,산명,등산로순번,등산로명,등산로주요지점내용,등산로길이,등산로난이도명,등산로상행시간,등산로하행시간,등산로재질내용,등산로통제여부,등산로폐쇄여부,등산로위험구간내용,등산로추천여부,데이터기준일자,제공기관코드,제공기관명
418303701,도일봉,12,도일봉,상현마을-중원폭포-치마폭포-정상,5.6,,150,,,,,,,2020-06-16,4170000,경기도 양평군
418302101,봉미산,13,봉미산,산음-생골-정상,3,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302101,봉미산,14,봉미산,산음-483봉-능선경유-정상,3,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302101,봉미산,15,봉미산,섬이마을-만수터-봉미산,2.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302601,소리산,16,소리산,수봉정-수리바위-정상,2,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418302601,소리산,17,소리산,소향산장-정상,1.9,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418300101,갈기산,18,갈기산,신대-정상,2.1,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418300101,갈기산,19,갈기산,하고론마을-약수터-정상,2.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418300101,갈기산,20,갈기산,고론공원-정상,2.1,,90,,,,,,,2020-06-16,4170000,경기도 양평군
416703701,일당산,21,일당산,솔치-물탕골-일당산-당산,2.7,,120,,,,,,,2020-06-16,4170000,경기도 양평군
416703701,일당산,22,일당산,솔치-곰지기골-안부-당산,2.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418300501,고래산,23,고래산,금동마을-정상,3.5,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418300501,고래산,24,고래산,배잔마을-정상,3.7,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,25,추읍산,삼성리-질마재-정상,1.6,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,26,추읍산,주읍-정상,2.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,27,추읍산,내동마을-정상,2.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,28,추읍산,원덕역-정상,4,,150,,,,,,,2020-06-16,4170000,경기도 양평군
418303501,추읍산,29,추읍산,능골-정상,3,,150,,,,,,,2020-06-16,4170000,경기도 양평군
418302701,양자산,30,양자산,성덕-고개-정상,1.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418302701,양자산,31,양자산,남한강변-백병봉-정상,2.7,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418302701,양자산,32,양자산,종지골-정상,1.5,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,33,청계산,청계-정상,1.4,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,34,청계산,목왕-안부-정상,1.6,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,35,청계산,국수역-청계리-정상,5,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303801,청계산,36,청계산,벗고개-송골고개-정상,2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418302201,부용산,37,부용산,양수역-양수터-하계산-정상,4.4,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418302201,부용신,38,부용산,신원역-몽양여운형생가-정상,2.2,,60,,,,,,,2020-06-16,4170000,경기도 양평군
418303001,옥산,39,옥산,한화리조트-토끼봉-정상,1.2,,75,,,,,,,2020-06-16,4170000,경기도 양평군
418303001,옥산,40,옥산,한화리조트-선녀탕-노루목-정상,1.2,,75,,,,,,,2020-06-16,4170000,경기도 양평군
418303001,옥산,41,옥산,농다치-정상,1.1,,75,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,대부산,42,대부산,동막마을-계곡경유-정상,2.9,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,대부산,43,대부산,복동마을-440봉-정상,3.2,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418302901,어비산,44,어비산,두명안-입구지-정상,1.4,,60,,,,,,,2020-06-16,4170000,경기도 양평군
418302901,어비산,45,어비산,두명안-숫고개-804봉-정상,1.3,,95,,,,,,,2020-06-16,4170000,경기도 양평군
418302901,어비산,46,어비산,갈현 어비계곡-정상,1.5,,60,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,유명산,47,유명산,복동마을-갈림길-안부-정상,3.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303301,유명산,48,유명산,동막마을-갈림길-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418202501,소구니산,49,소구니산,농다치-660봉-정상,3.2,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418202501,소구니산,50,소구니산,서너치고개-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303601,중미산,51,중미산,양현-안부-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418303601,중미산,52,중미산,명달-삼각골경유-정상,3,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418303601,중미산,53,중미산,명달-절터고개-정상,3,,110,,,,,,,2020-06-16,4170000,경기도 양평군
418204101,통방산,54,통방산,노문-일주암-567봉-정상,4,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418204101,통방산,55,통방산,명달-삼태봉-정상,2.8,,90,,,,,,,2020-06-16,4170000,경기도 양평군
418204401,화야산,56,화야산,수입고개-고동산-591봉-정상,9,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418200601,고동산,57,고동산,수입고개-정상,3,,100,,,,,,,2020-06-16,4170000,경기도 양평군
442700101,야호대,1,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700201,대덕산,2,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700301,구룡산,3,,,5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700401,둔군봉,4,,,4,,,,,,,,,2018-09-03,5680000,충청남도 당진시
442700501,성동산,5,,,2.5,,,,,,,,,2018-09-03,5680000,충청남도 당진시
224700601,송악산,6,,,3,,,,,,,,,2018-09-03,5680000,충청남도 당진시
