시도명,시군구명,지반침하지역상세,위도,경도,발생일자,발생규모면적,발생규모연장,발생규모깊이,발생지역지질종류,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태,복구방법,복구비용,복구완료일자,데이터기준일자,제공기관코드,제공기관명
경기도,안양시,동안구 호계동 1022-5,37.372301,126.959376,2018-06-07,1,1,1,,하수관 접합부위 파손에 따른 토사 유실,0,0,0,복구완료,,,2018-06-08,2019-08-31,3830000,경기도 안양시
경기도,안양시,동안구 비산동 422-10,37.396255,126.939473,2018-04-30,0.5,0.5,0.5,,빗물받이 연결관 파손에 따른 토사유실,0,0,0,복구완료,,,2018-05-01,2019-08-31,3830000,경기도 안양시
경기도,안양시,만안구 박달로 488,37.402319,126.906768,2018-04-06,0.7,0.5,0.8,,하수관로의 보수를 통하여 발생된 지반참하를 해소,0,0,0,복구완료,,,2018-04-06,2019-08-31,3830000,경기도 안양시
경기도,안양시,동안구 부림동 범계중학교 정문 맞은편,37.395497,126.959632,2016-08-22,0.5,0.5,0.6,,빗물받이 연결관 파손에  따른 토사유실,0,0,0,복구완료,,,2016-08-22,2019-08-31,3830000,경기도 안양시
경기도,안양시,동안구 부림로 평촌역 3번출구 앞,37.398436,126.937511,2016-08-04,0.5,0.5,0.7,,하수관 파손에 따른 토사유실,0,0,0,복구완료,,,2016-08-04,2019-08-31,3830000,경기도 안양시
인천광역시,부평구,청천동 112번지 쌍용아파트 삼거리,37.507173,126.720470,2019-02-06,,2,1.5,,지하수유출,0,0,,복구완료,,,,2020-03-17,6280000,인천광역시
인천광역시,부평구,청천동 112번지 쌍용아파트 삼거리,37.507173,126.720470,2019-01-18,,5,5,,지하수유출,0,0,,복구완료,,,,2020-03-17,6280000,인천광역시
인천광역시,중구,중구 축항대로 항동7가 27-175번지 남항부두 맞은편 4차선,37.454463,126.611485,2019-01-08,,0.5,0.1,,상수도관 누수로 동공 및 침하 발생,0,0,,복구완료,,,,2020-03-17,6280000,인천광역시
경기도,수원시,팔달구 수원시청역 사거리 교차로 내,37.261531,127.032161,2018-07-15,,1,0.15,,지하철 공사 시 복구 불량,0,0,0,복구완료,골재 치환,,2018-07-16,2020-03-13,3740000,경기도 수원시
경기도,수원시,팔달구 인계동 323-5번지 앞,37.275753,127.032059,2018-06-14,,0.1,1.2,,하수관 접합부 손상,0,0,0,복구완료,하수관 교체,,2018-06-14,2020-03-13,3740000,경기도 수원시
경기도,수원시,팔달구 화서동 212-2번지 앞,37.281221,126.996513,2018-06-13,,0.3,1.1,,하수관 접합부 손상,0,0,0,복구완료,하수관 교체,,2018-06-13,2020-03-13,3740000,경기도 수원시
경기도,수원시,팔달구 수원시청역 사거리 교차로 내,37.261664,127.031753,2018-04-19,,0.3,1.1,,지하철 공사 시 복구 불량,0,0,0,복구완료,골재 치환,,2018-04-20,2020-03-13,3740000,경기도 수원시
경기도,수원시,장안구 정자동 5-7,37.292715,127.009409,2018-04-06,,0.5,0.1,,개인하수관 파손,0,0,0,복구완료,하수관 교체,,2018-04-09,2020-03-13,3740000,경기도 수원시
경기도,수원시,장안구 영화동 142-2 박스 부근,37.289702,127.014982,2018-01-12,,0.5,0.1,,하수박스 인근 다짐불량으로 지반침하 발생,0,0,0,복구완료,골재 치환,,2018-01-27,2020-03-13,3740000,경기도 수원시
전라북도,정읍시,이평면 산매리 창동리 산 11-6,35.6545981,126.7961518,2018-07-13,,1,1.5,,농배수로관 옆으로 농업용수 유입,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,이평면 창동리 산11-5번지 일원,35.669376,126.810568,2018-01-02,,0.5,1.5,,농배수로관 노후로 인하여 지반 침하,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,농소동 225-22(농소동 한국타이어 부근),35.580685,126.837692,2016-09-06,,5,1,,원인불명으로 토사 유실,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,고부면 장문리 160-11 일원,35.625939,126.781796,2016-05-30,,1,3,,도로와 인도 사이 화단구간 다짐불량에 따른 토사유실,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,태인면 강고리 1197 일원,35.650248,126.933181,2016-05-19,,0.1,2.5,,원인불명으로 토사 유실,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,태인면 강고리 1267 일원,35.650342,126.933485,2016-04-29,,2,4,,오랜기간  서서히 침식하면서 토사유실(원인불명),0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,고부면 용흥리 493-1 일원,35.629441,126.751523,2016-04-26,,0.6,0.1,,상수관로 매설 후 다짐 불량,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,시기동 558-51(코아수 아파트 공사장 입구),35.5611052,126.8522964,2016-04-10,,1,0.5,,가스관로 매설 후 다짐 불량,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
전라북도,정읍시,정우면 수금리 13-2,35.645644,126.883118,2016-04-03,,0.6,1,,노후 배수관 하부 접합부 손상으로 누수 및 토사 유실,0,0,0,복구완료,,,,2020-01-31,4690000,전라북도 정읍시
